word_id	seg_id	language	orth	IPA	start	end	duration	lemma	POS	TAG	file	spkr_id	num_ph	split
POR048_55_3	POR048_55	POR	disse	DJ I+ S IX	1.2	1.82	0.62	dizer	VERB	VERB	Portuguese/wav/048/PO048_55.wav	POR048	4	DEV
POR051_80_3	POR051_80	POR	diz	DJ I+ S	0.43	0.64	0.21	dizer	VERB	VERB	Portuguese/wav/051/PO051_80.wav	POR051	3	DEV
POR044_84_4	POR044_84	POR	tem	T E~ I~	1.01	1.21	0.2	ter	VERB	VERB	Portuguese/wav/044/PO044_84.wav	POR044	3	DEV
POR008_33_10	POR008_33	POR	poderá	P O D E R A+	4.85	5.33	0.48	poder	VERB	VERB	Portuguese/wav/008/PO008_33.wav	POR008	6	DEV
POR105_63_21	POR105_63	POR	tem	T E~ I~	6.7	6.92	0.22	ter	VERB	VERB	Portuguese/wav/105/PO105_63.wav	POR105	3	DEV
POR112_6_48	POR112_6	POR	disse	DJ I+ S IX	29.93	30.29	0.36	dizer	VERB	VERB	Portuguese/wav/112/PO112_6.wav	POR112	4	DEV
POR003_79_7	POR003_79	POR	disse	DJ I+ S IX	1.38	1.66	0.28	dizer	VERB	VERB	Portuguese/wav/003/PO003_79.wav	POR003	4	DEV
POR054_78_2	POR054_78	POR	disse	DJ I+ S IX	0.19	0.97	0.78	dizer	VERB	VERB	Portuguese/wav/054/PO054_78.wav	POR054	4	DEV
POR054_78_4	POR054_78	POR	ter	T E RR	1.17	1.42	0.25	ter	VERB	VERB	Portuguese/wav/054/PO054_78.wav	POR054	3	DEV
POR047_93_8	POR047_93	POR	afirmou	A F I RR M O+	2.86	3.44	0.58	afirmar	VERB	VERB	Portuguese/wav/047/PO047_93.wav	POR047	6	DEV
POR014_34_3	POR014_34	POR	terá	T E R A+	1.2	1.51	0.31	ter	VERB	VERB	Portuguese/wav/014/PO014_34.wav	POR014	4	DEV
POR014_34_24	POR014_34	POR	pagar	P A G A+ RR	11.79	12.17	0.38	pagar	VERB	VERB	Portuguese/wav/014/PO014_34.wav	POR014	5	DEV
POR048_34_3	POR048_34	POR	disse	DJ I+ S IX	0.35	0.76	0.41	dizer	VERB	VERB	Portuguese/wav/048/PO048_34.wav	POR048	4	DEV
POR048_34_12	POR048_34	POR	havia	A V I+ AX	3.98	4.75	0.77	haver	VERB	VERB	Portuguese/wav/048/PO048_34.wav	POR048	4	DEV
POR048_34_15	POR048_34	POR	disse	DJ I+ S IX	7.15	7.56	0.41	dizer	VERB	VERB	Portuguese/wav/048/PO048_34.wav	POR048	4	DEV
POR072_51_7	POR072_51	POR	afirma	A F I+ RR M AX	2.17	2.86	0.69	afirmar	VERB	VERB	Portuguese/wav/072/PO072_51.wav	POR072	6	DEV
POR016_130_19	POR016_130	POR	diz	DJ I+ S	15.06	15.59	0.53	dizer	VERB	VERB	Portuguese/wav/016/PO016_130.wav	POR016	3	DEV
POR019_164_8	POR019_164	POR	há	A+	3.86	4.02	0.16	haver	VERB	VERB	Portuguese/wav/019/PO019_164.wav	POR019	1	DEV
POR037_43_6	POR037_43	POR	afirmou	A F I RR M O+	2.93	3.42	0.49	afirmar	VERB	VERB	Portuguese/wav/037/PO037_43.wav	POR037	6	DEV
POR006_30_11	POR006_30	POR	quer	K E+ RR	5.48	5.79	0.31	querer	VERB	VERB	Portuguese/wav/006/PO006_30.wav	POR006	3	DEV
POR051_134_10	POR051_134	POR	quer	K E+ RR	3.29	3.5	0.21	querer	VERB	VERB	Portuguese/wav/051/PO051_134.wav	POR051	3	DEV
POR150_43_5	POR150_43	POR	há	A+	1.0	1.03	0.03	haver	VERB	VERB	Portuguese/wav/150/PO150_43.wav	POR150	1	DEV
POR051_73_11	POR051_73	POR	ficou	F I K O+	3.47	3.67	0.2	ficar	VERB	VERB	Portuguese/wav/051/PO051_73.wav	POR051	4	DEV
POR051_73_15	POR051_73	POR	disse	DJ I+ S IX	6.29	6.56	0.27	dizer	VERB	VERB	Portuguese/wav/051/PO051_73.wav	POR051	4	DEV
POR051_73_19	POR051_73	POR	vem	V E~+ I~	7.32	7.63	0.31	vir	VERB	VERB	Portuguese/wav/051/PO051_73.wav	POR051	3	DEV
POR051_73_24	POR051_73	POR	pode	P O+ DJ IX	8.55	8.87	0.32	poder	VERB	VERB	Portuguese/wav/051/PO051_73.wav	POR051	4	DEV
